name,px,py,pz,hlx,hly,hlz,hrx,hry,hrz
1,0.326381,2.979534,0.000000,0.827949,3.477960,0.000000,-0.175188,2.481107,0.000000
2,0.376462,2.218299,0.000000,0.878030,2.716725,0.000000,-0.125107,1.719872,0.000000
3,0.258214,1.397522,0.000000,0.759783,1.895949,0.000000,-0.243354,0.899096,0.000000
4,0.487754,0.507189,0.000000,0.989322,1.005615,0.000000,-0.013815,0.008762,0.000000
5,0.000114,-0.995056,0.000000,-0.999886,-0.995056,0.000000,1.000114,-0.995056,0.000000
6,-0.482923,0.999886,0.000000,-0.995307,0.003371,0.000000,0.029460,1.996402,0.000000
7,-1.744971,1.670975,0.000000,-0.958985,2.469603,0.000000,-2.530958,0.872348,0.000000
8,-1.314272,0.398911,0.000000,-0.528286,1.197538,0.000000,-2.100259,-0.399716,0.000000
9,-2.556287,0.489057,0.000000,-1.770301,1.287685,0.000000,-3.342274,-0.309570,0.000000
10,-2.205719,-0.762974,0.000000,-1.419732,0.035653,0.000000,-2.991705,-1.561602,0.000000
11,-3.387636,-0.732926,0.000000,-2.601650,0.065702,0.000000,-4.173623,-1.531553,0.000000
